lecture_id,text_review_count,text_positive_count,text_negative_count,text_neutral_count,text_assignment_tfidf,text_exam_tfidf,text_teamwork_tfidf,text_attendance_tfidf,text_grading_tfidf,text_teaching_tfidf,text_assignment_positive_tfidf,text_exam_positive_tfidf,text_teamwork_positive_tfidf,text_attendance_positive_tfidf,text_grading_positive_tfidf,text_teaching_positive_tfidf,text_assignment_negative_tfidf,text_exam_negative_tfidf,text_teamwork_negative_tfidf,text_attendance_negative_tfidf,text_grading_negative_tfidf,text_teaching_negative_tfidf,text_positive_ratio,text_negative_ratio,text_neutral_ratio
103298,20,12,3,5,0.117454,0.084998,0.03539,0.068862,0.16644,0.12007,0.137078,0.084998,0.160795,0.158094,0.134548,0.067994,0.0,0.0,0.0,0.0,0.098911,0.184308,0.6,0.15,0.25
103300,20,7,5,8,0.192938,0.220166,0.0,0.210809,0.223946,0.026038,0.183558,0.151793,0.0,0.0,0.076688,0.0,0.075,0.044483,0.0,0.663393,0.100545,0.092154,0.35,0.25,0.4
103304,20,18,0,2,0.150285,0.199428,0.0,0.044344,0.055124,0.078113,0.214625,0.199428,0.0,0.101806,0.055124,0.052075,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.1
103316,20,20,0,0,0.14903,0.131642,0.0,0.0,0.081892,0.091391,0.212834,0.131642,0.0,0.0,0.081892,0.091391,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
103317,3,2,0,1,1.0,0.110836,0.0,0.22954,0.0,0.0,0.339772,0.110836,0.0,0.52698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666667,0.0,0.333333
103381,16,12,3,1,0.0,0.082684,0.013756,0.05543,0.199986,0.040846,0.0,0.082684,0.0625,0.127257,0.199986,0.040846,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.1875,0.0625
103393,20,18,1,1,0.153615,0.045428,0.0,0.0,0.064312,0.084752,0.219381,0.045428,0.0,0.0,0.064312,0.084752,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.05,0.05
103412,20,19,1,0,0.121564,0.179185,0.073715,0.0,0.179871,0.136827,0.142948,0.151087,0.279522,0.0,0.179871,0.136827,0.025,0.102635,0.012193,0.0,0.0,0.0,0.95,0.05,0.0
103522,20,19,0,1,0.663517,0.269865,0.092177,0.0,0.102656,0.345361,0.947586,0.256109,0.418803,0.0,0.102656,0.345361,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.05
103534,20,18,0,2,0.063153,0.123484,0.012193,0.0,0.269711,0.213168,0.090191,0.087938,0.055398,0.0,0.269711,0.213168,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.1
103544,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
103642,20,19,0,1,0.021469,0.053159,0.0,0.0,0.087017,0.125196,0.030661,0.053159,0.0,0.0,0.087017,0.099158,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.05
103684,20,20,0,0,0.236162,0.079308,0.0,0.0,0.032419,0.026038,0.337268,0.079308,0.0,0.0,0.032419,0.026038,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
103689,20,16,4,0,0.098371,0.086863,0.0,0.0,0.120236,0.046587,0.140486,0.086863,0.0,0.0,0.120236,0.046587,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0
103691,20,18,0,2,0.085877,0.0,0.0,0.0,0.185602,0.0,0.122643,0.0,0.0,0.0,0.185602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.1
103692,20,10,7,3,0.081389,0.028097,0.0,0.034431,0.064312,0.032677,0.054913,0.028097,0.0,0.0,0.064312,0.032677,0.025,0.0,0.0,0.137214,0.0,0.0,0.5,0.35,0.15
103693,20,20,0,0,0.127819,0.081137,0.072544,0.084068,0.161042,0.034285,0.182541,0.081137,0.329601,0.193004,0.161042,0.034285,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
103694,20,15,0,5,0.042938,0.045067,0.0,0.05,0.087017,0.039678,0.030661,0.02652,0.0,0.0,0.055124,0.039678,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.25
103727,20,8,4,8,0.135782,0.067786,0.015127,0.0,0.070236,0.0,0.081626,0.054031,0.068727,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.4
103732,20,18,1,1,0.274894,0.152047,0.0,0.0,0.167494,0.039678,0.331261,0.126113,0.0,0.0,0.102656,0.039678,0.025,0.0,0.0,0.0,0.201089,0.0,0.9,0.05,0.05
103771,20,16,1,3,0.267361,0.025933,0.071969,0.034431,0.0,0.0,0.381825,0.025933,0.326988,0.079047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.05,0.15
103774,20,17,2,1,0.426407,0.337814,0.187885,0.0,0.102656,0.398026,0.503085,0.337814,0.59825,0.0,0.102656,0.363742,0.044774,0.0,0.033014,0.0,0.0,0.0,0.85,0.1,0.05
103778,20,17,1,2,0.107346,0.049271,0.0,0.089279,0.032419,0.0,0.091982,0.049271,0.0,0.204968,0.032419,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.85,0.05,0.1
103780,20,18,0,2,0.192226,0.078386,0.0,0.083233,0.031892,0.0,0.243862,0.052453,0.0,0.191086,0.031892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.1
103782,20,18,1,1,0.0,0.038698,0.0,0.0,0.120763,0.0,0.0,0.038698,0.0,0.0,0.120763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.05,0.05
103796,20,18,1,1,0.107346,0.09127,0.0,0.084068,0.296204,0.196669,0.061321,0.060889,0.0,0.113957,0.246204,0.163993,0.05,0.0,0.0,0.0,0.0,0.0,0.9,0.05,0.05
103803,20,19,0,1,0.0,0.125617,0.0,0.044344,0.225354,0.11779,0.0,0.113439,0.0,0.101806,0.225354,0.078113,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.05
103816,20,19,0,1,0.042938,0.092073,0.0,0.133233,0.038344,0.065715,0.061321,0.073526,0.0,0.305877,0.038344,0.065715,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.05
103818,20,18,0,2,0.124328,0.170234,0.0,0.044344,0.102129,0.052075,0.177556,0.158056,0.0,0.101806,0.102129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.1
103918,20,20,0,0,0.171754,0.012178,0.0,0.0,0.070236,0.026038,0.245286,0.012178,0.0,0.0,0.070236,0.026038,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
104183,7,7,0,0,0.270657,0.149866,0.0,0.196748,0.0,0.198865,0.386532,0.149866,0.0,0.451697,0.0,0.198865,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
104224,20,12,4,4,0.212184,0.127803,0.0,0.0,0.031892,0.0,0.151512,0.060889,0.0,0.0,0.031892,0.0,0.0,0.044483,0.0,0.0,0.0,0.0,0.6,0.2,0.2
104818,20,12,4,4,0.339975,0.02652,0.068405,0.034431,0.109107,0.0,0.440431,0.0,0.260795,0.079047,0.109107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.2,0.2
